CODE,TITLE,TYPE,CREDITS,SLOT,FACULTY,VENUE,
STS3006,Basic Competitive Coding - I,TH,3,G1+TG1,,,
CHY1001,Chemistry & Environmental Studies,LO,4,E1,,,
CHY1005,Industrial Chemistry for Engineers,TH,4,C1+TC1,,,
CHY1005,Industrial Chemistry for Engineers,TH,4,G2+TG2,,,
CHY1005,Industrial Chemistry for Engineers,TH,4,G1+TG1,,,
CHY1006,Corrosion Science and Engineering,TH,4,E2+TE2,,,
CHY1006,Corrosion Science and Engineering,TH,4,F2+TF2,,,
CHY1006,Corrosion Science and Engineering,TH,4,D1+TD1,,,
CHY1007,Energy Materials and Their Applications,TH,4,B2+TB2,,,
CHY1007,Energy Materials and Their Applications,TH,4,D2+TD2,,,
CHY1007,Energy Materials and Their Applications,TH,4,F1+TF1,,,
CHY2001,Chemical and Biosensors,TH,4,A2+TA2,,,
CHY2002,Organic Electronics,TH,4,B2+TB2,,,
CHY2002,Organic Electronics,TH,4,E1+TE1,,,
MAT1003,Discrete Mathematical Structures,TH,4,D2+TD2+TDD2,Prof.Sukanta Nayak,110 - CB,
MAT1003,Discrete Mathematical Structures,TH,4,B1+TB1+TBB1,Prof.Manisha Maity ,219-CB,
MAT1003,Discrete Mathematical Structures,TH,4,D2+TD2+TDD2,,,
MAT1003,Discrete Mathematical Structures,TH,4,A1+TA1+TAA1,,,
MAT1003,Discrete Mathematical Structures,TH,4,C2+TC2+TCC2,,,
MAT1003,Discrete Mathematical Structures,TH,4,A2+TA2+TAA2,,,
MAT1003,Discrete Mathematical Structures,TH,4,C2+TC2+TCC2,,,
MAT1003,Discrete Mathematical Structures,TH,4,A1+TA1+TAA1,,,
MAT1003,Discrete Mathematical Structures,TH,4,D1+TD1+TDD1,,,
MAT1003,Discrete Mathematical Structures,TH,4,C2+TC2+TCC2,,,
MAT1003,Discrete Mathematical Structures,TH,4,D1+TD1+TDD1,,,
MAT1003,Discrete Mathematical Structures,TH,4,D1+TD1+TDD1,,,
MAT1003,Discrete Mathematical Structures,TH,4,C2+TC2+TCC2,,,
MAT1003,Discrete Mathematical Structures,TH,4,B1+TB1+TBB1,,,
MAT1003,Discrete Mathematical Structures,TH,4,D2+TD2+TDD2,,,
MAT1003,Discrete Mathematical Structures,TH,4,D1+TD1+TDD1,,,
MAT1003,Discrete Mathematical Structures,TH,4,B2+TB2+TBB2,,,
MAT1003,Discrete Mathematical Structures,TH,4,D1+TD1+TDD1,,,
MAT1003,Discrete Mathematical Structures,TH,4,D2+TD2+TDD2,,,
MAT1003,Discrete Mathematical Structures,TH,4,B2+TB2+TBB2,,,
MAT1003,Discrete Mathematical Structures,TH,4,D2+TD2+TDD2,,,
MAT1003,Discrete Mathematical Structures,TH,4,C1+TC1+TCC1,,,
MAT1003,Discrete Mathematical Structures,TH,4,A2+TA2+TAA2,,,
MAT1003,Discrete Mathematical Structures,TH,4,B2+TB2+TBB2,,,
MAT1003,Discrete Mathematical Structures,TH,4,B1+TB1+TBB1,,,
MAT1003,Discrete Mathematical Structures,TH,4,C2+TC2+TCC2,,,
MAT1003,Discrete Mathematical Structures,TH,4,C1+TC1+TCC1,,,
MAT1003,Discrete Mathematical Structures,TH,4,D1+TD1+TDD1,,,
MAT1003,Discrete Mathematical Structures,TH,4,C1+TC1+TCC1,,,
MAT1003,Discrete Mathematical Structures,TH,4,A2+TA2+TAA2,,,
MAT1003,Discrete Mathematical Structures,TH,4,C1+TC1+TCC1,,,
MAT1003,Discrete Mathematical Structures,TH,4,C2+TC2+TCC2,,,
MAT1003,Discrete Mathematical Structures,TH,4,C1+TC1+TCC1,,,
MAT1003,Discrete Mathematical Structures,TH,4,A1+TA1+TAA1,,,
MAT1003,Discrete Mathematical Structures,TH,4,D2+TD2+TDD2,,,
MAT1007,Discrete Mathematics,TH,4,C2+TC2+TCC2,,,
MAT1007,Discrete Mathematics,TH,4,C1+TC1+TCC1,,,
MAT1007,Discrete Mathematics,TH,4,D1+TD1+TDD1,,,
MAT1007,Discrete Mathematics,TH,4,D1+TD1+TDD1,,,
MAT1007,Discrete Mathematics,TH,4,D2+TD2+TDD2,,,
MAT1007,Discrete Mathematics,TH,4,C1+TC1+TCC1,,,
MAT1007,Discrete Mathematics,TH,4,C2+TC2+TCC2,,,
MAT1011,Applied Statistics,ETL,3,C2+TC2,Prof.Venkatarajam M,226 - CB,
MAT1011,Applied Statistics,ETL,3,E2+TE2,,,
MAT1011,Applied Statistics,ETL,3,E1+TE1,,,
MAT1011,Applied Statistics,ETL,3,C1+TC1,Prof.Venkatarajam M,G15- CB,
MAT1011,Applied Statistics,ETL,3,E1+TE1,,,
MAT2001,Numerical Methods for Engineers,,,C1,,,
MAT2001,Numerical Methods for Engineers,,,E1,,,
MAT2001,Numerical Methods for Engineers,,,E2,,,
MAT2002,Complex Variables and Partial Differential Equations,,,A2+TA2,,,
MAT2002,Complex Variables and Partial Differential Equations,,,A1+TA1,,,
MAT2003,Optimization Techniques,,,A2+TA2,,,
MAT2005,Linear Algebra,TH,3,A1+TA1,,,
MAT2005,Linear Algebra,TH,3,G1+TG1,,,
MAT2009,Computational Statistics,,,F1+TF1,,,
MAT2009,Computational Statistics,,,A1+TA1,,,
MAT2009,Computational Statistics,,,C2+TC2,,,
MAT2011,Graph Theory and Applications,,,C2+TC2,,,
PHY2004,Optoelectronics,,,G2+TG2,,,
PHY2005,Introduction to Nanotechnology,ETL,3,C1+TC1,,,
PHY2005,Introduction to Nanotechnology,ETL,3,D1+TD1,,,
PHY2005,Introduction to Nanotechnology,ETL,3,E1+TE1,,,
PHY2005,Introduction to Nanotechnology,ETL,3,F1+TF1,Prof.Ganesh Kotagiri, 230 - CB,
PHY2005,Introduction to Nanotechnology,ETL,3,G1+TG1,,,
PHY2005,Introduction to Nanotechnology,ETL,3,C2+TC2,,,
PHY2005,Introduction to Nanotechnology,ETL,3,D2+TD2,,,
PHY2005,Introduction to Nanotechnology,ETL,3,E2+TE2,,,
PHY2005,Introduction to Nanotechnology,ETL,3,D2+TD2,,,
PHY2005,Introduction to Nanotechnology,ETL,3,G2+TG2,,,
PHY2005,Introduction to Nanotechnology,ETL,3,D2+TD2,,,
PHY2005,Introduction to Nanotechnology,ETL,3,E1+TE1,,,
PHY2005,Introduction to Nanotechnology,ETL,3,F1+TF1,,,
PHY2006,Solar Photovoltaics : Fundamentals and Technologies,TH,3,G1+TG1,,,
PHY2006,Solar Photovoltaics : Fundamentals and Technologies,TH,3,D2+TD2,,,
CSE1006,Foundations for Data Analytics,ETL,3,E1,,,
CSE1008,Theory of Computation,TH,4,C1+TC1+TCC1,,,
CSE1008,Theory of Computation,TH,4,D2+TD2+TDD2,,,
CSE2001,Data Structures and Algorithms,ETL,3,A1+G1+TA1,,,
CSE2001,Data Structures and Algorithms,ETL,3,A1+G1+TA1,,,
CSE2001,Data Structures and Algorithms,ETL,3,A1+G1+TA1,,,
CSE2001,Data Structures and Algorithms,ETL,3,A1+G1+TA1,,,
CSE2001,Data Structures and Algorithms,ETL,3,A1+G1+TA1,,,
CSE2001,Data Structures and Algorithms,ETL,3,A1+G1+TA1,,,
CSE2001,Data Structures and Algorithms,ETL,3,A1+G1+TA1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,B1+TB1+TBB1+TG1,,,
CSE2001,Data Structures and Algorithms,ETL,3,A2+G2+TA2,"Prof.Naga Jagadesh Bommagani -
",110-CB,
CSE2001,Data Structures and Algorithms,ETL,3,A2+G2+TA2,,,
CSE2001,Data Structures and Algorithms,ETL,3,A2+G2+TA2,,,
CSE2001,Data Structures and Algorithms,ETL,3,A2+G2+TA2,,,
CSE2001,Data Structures and Algorithms,ETL,3,A2+G2+TA2,,,
CSE2001,Data Structures and Algorithms,ETL,3,A2+G2+TA2,,,
CSE2001,Data Structures and Algorithms,ETL,3,A2+G2+TA2,,,
CSE2001,Data Structures and Algorithms,ETL,3,A2+G2+TA2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,Prof.Bharathi V C,G09 - CB,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,B2+TB2+TBB2+TG2,,,
CSE2001,Data Structures and Algorithms,ETL,3,A1+G1+TA1,,,
CSE2009,Soft Computing,,,C1+TC1,,,
CSE2009,Soft Computing,,,D2+TD2,,,
CSE2010,Secure Coding,,,C2+TC2,,,
CSE2011,Cyber Security and Digital Forensics,,,D2+TD2,,,
CSE3001,Agile Development Process,,,F1+TF1,,,
CSE3001,Agile Development Process,,,A2+TA2,,,
CSE3002,Artificial Intelligence,ETL,3,A1+TA1,,,
CSE3002,Artificial Intelligence,ETL,3,B2+TB2,,,
CSE3003,Computer Networks,ETL,3,G1+TG1,,,
CSE3004,Design and Analysis of Algorithms,ETL,3,F1+TF1,,,
CSE3008,Introduction to Machine Learning,,,D2+TD2,,,
CSE3008,Introduction to Machine Learning,,,C1+TC1,,,
CSE3009,No SQL Databases,,,A2+TA2,,,
CSE3012,Network Security,,,D2+TD2,,,
CSE3018,Software Configuration Management,,,F2+TF2,,,
CSE3019,Software Quality and Reliability,,,B2+TB2,,,
CSE3019,Software Quality and Reliability,,,E1+TE1,,,
CSE3020,Product Definition and Validation,,,F2+TF2,,,
CSE4005,Data Warehousing and Data Mining,,,B2+TB2,,,
CSE4006,Deep Learning,,,G2+TG2,,,
CSE4018,Computer Vision and Robotics,ETL,,D1+TD1,,,
SWE1002,Principles of Software Engineering,,,B1+TB1,,,
SWE1002,Principles of Software Engineering,,,E1+TE1,,,
SWE1002,Principles of Software Engineering,,,B2+TB2,,,
SWE1002,Principles of Software Engineering,,,E2+TE2,,,
SWE1002,Principles of Software Engineering,,,B1+TB1,,,
SWE1002,Principles of Software Engineering,,,E1+TE1,,,
SWE2001,Data Structures and its Applications,,,A1+G1+TA1,,,
SWE2001,Data Structures and its Applications,,,B1+TB1+TBB1+TG1,,,
SWE2001,Data Structures and its Applications,,,A2+G2+TA2,,,
SWE2001,Data Structures and its Applications,,,B2+TB2+TBB2+TG2,,,
SWE2001,Data Structures and its Applications,,,A1+G1+TA1,,,
SWE2001,Data Structures and its Applications,,,B1+TB1+TBB1+TG1,,,
SWE2001,Data Structures and its Applications,,,A2+G2+TA2,,,
SWE2002,Human Computer Interaction,,,G1+TG1,,,
SWE2003,Requirements Engineering Management,,,C2+TC2,,,
SWE2004,Software Design and Architecture,,,B1+TB1,,,
SWE2006,Database Systems,,,C1+TC1,,,
SWE2006,Database Systems,,,F1+TF1,,,
SWE2006,Database Systems,,,C2+TC2,,,
SWE2006,Database Systems,,,F2+TF2,,,
SWE2006,Database Systems,,,C1+TC1,,,
SWE2006,Database Systems,,,F1+TF1,,,
SWE2006,Database Systems,,,F2+TF2,,,
SWE2007,Fundamentals of Operating Systems,,,A2+TA2,,,
SWE2008,Object Oriented Analysis and Design,TH,3,A1+TA1,,,
SWE2008,Object Oriented Analysis and Design,TH,3,A2+TA2,,,
SWE3001,Introduction to Computer Networks,,,F1+TF1,,,
SWE3002,Software Project Management,,,D1+TD1,,,
SWE3004,Front End Design and Testing,,,A2+TA2,,,
SWE3004,Front End Design and Testing,,,A1+TA1,,,
SWE4001,Internet and Web Technologies,,,C1+TC1,,,
SWE4001,Internet and Web Technologies,,,F2+TF2,,,
SWE4002,Software Testing,,,E1+TE1,,,
SWE4003,Concepts of Mobile Application Development,,,D2+TD2,,,
SWE4003,Concepts of Mobile Application Development,,,D1+TD1,,,
SWE4004,Cloud Computing and its Applications,,,C1+TC1,,,
SWE4005,Storage Technologies and Management,,,G1+TG1,,,
CSE2013,Information Theory and Coding,,,B1+TB1+TBB1,,,
CSE3031,Mobile Computing,,,G1+TG1,,,
CSE4033,IT Project Management,,,E1,,,
CSE3006,Data Visualization,,,E2+TE2,,,
CSE4011,Internet of Things,,,C2+TC2,,,
CSE4012,UI UX User Experience Design,,,B1+TB1,,,
CSE4012,UI UX User Experience Design,,,A2+TA2,,,
ECE4007,IoT System Architecture,,,G1,,,
CSE4007,Digital Image Processing,,,G1+TG1,,,
ECE1010,Probability and Random Processes,,,A1+TA1+TAA1,,,
ECE1010,Probability and Random Processes,,,A2+TA2+TAA2,,,
ECE1010,Probability and Random Processes,,,B1+TB1+TBB1,,,
ECE1010,Probability and Random Processes,,,B2+TB2+TBB2,,,
ECE2002,Computer Organization and Architecture,TH,4,B1+TB1+TBB1,,,
ECE2002,Computer Organization and Architecture,TH,4,D1+TD1+TDD1,,,
ECE2002,Computer Organization and Architecture,TH,4,D2+TD2+TDD2,,,
ECE2002,Computer Organization and Architecture,TH,4,A1+TA1+TAA1,,,
ECE2002,Computer Organization and Architecture,TH,4,B1+TB1+TBB1,,,
ECE2002,Computer Organization and Architecture,TH,4,D2+TD2+TDD2,,,
ECE2002,Computer Organization and Architecture,TH,4,C1+TC1+TCC1,"Prof.Sudha Ellison Mathe -
",G18-CB,
ECE2002,Computer Organization and Architecture,TH,4,B2+TB2+TBB2,,,
ECE2002,Computer Organization and Architecture,TH,4,C1+TC1+TCC1,,,
ECE2002,Computer Organization and Architecture,TH,4,D1+TD1+TDD1,,,
ECE2002,Computer Organization and Architecture,TH,4,A2+TA2+TAA2,,,
ECE2002,Computer Organization and Architecture,TH,4,B2+TB2+TBB2,,,
ECE2002,Computer Organization and Architecture,TH,4,A1+TA1+TAA1,,,
ECE2002,Computer Organization and Architecture,TH,4,D2+TD2+TDD2,,,
