CODE,TITLE,TYPE,VENUE,SLOT,FACULTY
"BARB101L","Arabic","TH","SJT607","B2","MOHD SAQIB"
"BARB101L","Arabic","TH","SJT715","A2","MOHD SAQIB"
"BARB101L","Arabic","TH","SJT407","G1","MOHD SAQIB"
"BARB101L","Arabic","TH","SJT607","C2","MOHD SAQIB"
"BCHI101L","Chinese I","TH","TT201","A2","KHANA BAIDYA"
"BCHI101L","Chinese I","TH","SJT514","E1","KHANA BAIDYA"
"BCHI101L","Chinese I","TH","SJT311","B2","KHANA BAIDYA"
"BCHI101L","Chinese I","TH","SJT514","E2","KHANA BAIDYA"
"BCLE212L","Natural Disaster Mitigation and Management","TH","CDMM105","G1+TG1","JOHN SUSHIL PACKIARAJ"
"BCLE212L","Natural Disaster Mitigation and Management","TH","CDMM103","G2+TG2","GANAPATHY G.P"
"BCLE212L","Natural Disaster Mitigation and Management","TH","CDMM105","G2+TG2","SUGANYA OM"
"BCLE212L","Natural Disaster Mitigation and Management","TH","CDMM404","G1+TG1","SHANMUGA PRIYA T"
"BCLE212L","Natural Disaster Mitigation and Management","TH","GDN128","F1+TF1","MEENA T"
"BCLE212L","Natural Disaster Mitigation and Management","TH","GDN129","F1+TF1","PRIYADHARSHINI  B"
"BCLE212L","Natural Disaster Mitigation and Management","TH","CDMM404","F2+TF2","PRASANTH S"
"BCLE212L","Natural Disaster Mitigation and Management","TH","CDMM405","F2+TF2","ARUNAVA RAY"
"BCLE214L","Global Warming","TH","CDMM403","E1+TE1","MURUGAVELH S"
"BCLE214L","Global Warming","TH","CDMM404","E2+TE2","KAVITHA M.S"
"BCLE214L","Global Warming","TH","CDMM105","D1+TD1","VIGNESH RAJKUMAR L"
"BCLE214L","Global Warming","TH","CDMM104","D2+TD2","VIGNESH RAJKUMAR L"
"BCLE215L","Waste Management","TH","CDMM403","D1+TD1","MONALI PRIYADARSHINI"
"BCLE215L","Waste Management","TH","CDMM105","D2+TD2","AMIT B MAHINDRAKAR"
"BCLE216L","Water Resource Management","TH","CDMM103","B2+TB2","JAGADEESH P"
"BCLE216L","Water Resource Management","TH","CDMM103","E2+TE2","MAHENTHIRAN S"
"BCLE216L","Water Resource Management","TH","CDMM103","E1+TE1","DILLIP KUMAR BARIK"
"BENG102P","Technical Report Writing","LO","TT432","L9+L10","GAYATHRI N"
"BENG102P","Technical Report Writing","LO","TT306","L7+L8","SUJATHA ARAVINDAKSHAN MENON"
"BENG102P","Technical Report Writing","LO","SJT519","L29+L30","ANU BAISEL"
"BENG102P","Technical Report Writing","LO","TT116","L7+L8","PRASANTHA KUMAR N.S"
"BENG102P","Technical Report Writing","LO","TT116","L27+L28","MD. SAHUL HAMEED M A"
"BENG102P","Technical Report Writing","LO","TT432","L15+L16","VISHNU PRIYA N.S"
"BENG102P","Technical Report Writing","LO","SJT519","L21+L22","MEENAKSHI S"
"BENG102P","Technical Report Writing","LO","SJT519","L5+L6","PRAJEESH TOMY"
"BENG102P","Technical Report Writing","LO","TT306","L9+L10","ANIL PREMRAJ J"
"BENG102P","Technical Report Writing","LO","TT116","L23+L24","LAXMI DHAR DWIVEDI"
"BENG102P","Technical Report Writing","LO","TT318","L39+L40","RAJU R.L.N"
"BENG102P","Technical Report Writing","LO","TT306","L11+L12","BHUVANESWARI V"
"BENG102P","Technical Report Writing","LO","SJT519","L27+L28","MEENAKSHI S"
"BENG102P","Technical Report Writing","LO","TT432","L23+L24","CHRISTOPHER RAJASEKARAN W"
"BENG102P","Technical Report Writing","LO","SJT519","L9+L10","AJANTA SIRCAR"
"BENG102P","Technical Report Writing","LO","TT116","L15+L16","SRINIVASAN R"
"BENG102P","Technical Report Writing","LO","TT432","L21+L22","SRINIVASAN R"
"BENG102P","Technical Report Writing","LO","TT306","L53+L54","SENTHIL BABU M K"
"BENG102P","Technical Report Writing","LO","PRP248","L55+L56","VARSHA K"
"BENG102P","Technical Report Writing","LO","PRP248","L57+L58","ANKITA SUNDRIYAL"
"BENG102P","Technical Report Writing","LO","PRP248","L49+L50","SNEHA MISHRA"
"BENG102P","Technical Report Writing","LO","TT432","L3+L4","CHRISTOPHER RAJASEKARAN W"
"BENG102P","Technical Report Writing","LO","SJT519","L15+L16","PRAJEESH TOMY"
"BENG102P","Technical Report Writing","LO","PRP248","L25+L26","MATHUMATHY S"
"BENG102P","Technical Report Writing","LO","PRP248","L27+L28","ANBURAJ  G"
"BENG102P","Technical Report Writing","LO","PRP248","L29+L30","SHEEJA RAJAGOPAL"
"BENG102P","Technical Report Writing","LO","PRP248","L7+L8","SARASWATHY S"
"BENG102P","Technical Report Writing","LO","PRP248","L15+L16","EVANGELINE PRISCILLA B"
"BENG102P","Technical Report Writing","LO","TT306","L39+L40","LAXMI DHAR DWIVEDI"
"BENG102P","Technical Report Writing","LO","TT432","L31+L32","VISHNU PRIYA N.S"
"BENG102P","Technical Report Writing","LO","TT306","L43+L44","SUGANTHAN  C"
"BENG102P","Technical Report Writing","LO","TT306","L33+L34","ANITHA DEVI V"
"BENG102P","Technical Report Writing","LO","TT306","L51+L52","SOUMEN MUKHERJEE"
"BENG102P","Technical Report Writing","LO","TT306","L57+L58","GAYATHRI N"
"BENG102P","Technical Report Writing","LO","TT306","L31+L32","SUNITHA V"
"BENG102P","Technical Report Writing","LO","TT306","L49+L50","THENMOZHI M"
"BENG102P","Technical Report Writing","LO","TT306","L37+L38","MARY JENNIFER J"
"BENG102P","Technical Report Writing","LO","TT306","L45+L46","JAISHREE JAIKRISHNAN"
"BENG102P","Technical Report Writing","LO","TT306","L15+L16","ANIL PREMRAJ J"
"BENG102P","Technical Report Writing","LO","TT432","L27+L28","SENGUTTUVAN M"
"BENG102P","Technical Report Writing","LO","TT306","L21+L22","MD. SAHUL HAMEED M A"
"BENG102P","Technical Report Writing","LO","TT306","L13+L14","G CHRISTOPHER"
"BENG102P","Technical Report Writing","LO","TT306","L3+L4","VIDHYA B"
"BENG102P","Technical Report Writing","LO","TT306","L23+L24","PRASANTHA KUMAR N.S"
"BENG102P","Technical Report Writing","LO","PRP249","L51+L52","SUSHANT KISHORE"
"BENG102P","Technical Report Writing","LO","TT306","L5+L6","SHEEJA RAJAGOPAL"
"BENG102P","Technical Report Writing","LO","TT116","L21+L22","YADAMALA SREENIVASULU"
"BENG102P","Technical Report Writing","LO","TT306","L29+L30","SREEJITH VARMA R"
"BENG102P","Technical Report Writing","LO","TT306","L55+L56","SUJATHA ARAVINDAKSHAN MENON"
"BENG102P","Technical Report Writing","LO","TT306","L19+L20","RAJALEKSHMI K"
"BENG102P","Technical Report Writing","LO","TT116","L33+L34","RAJU R.L.N"
"BESP101L","Spanish I","TH","SMV109","B2","SABYASACHI MISHRA"
"BESP101L","Spanish I","TH","CDMM404","A2","SABYASACHI MISHRA"
"BESP101L","Spanish I","TH","TT434","F1","SABYASACHI MISHRA"
"BESP101L","Spanish I","TH","SMV101","E2","SABYASACHI MISHRA"
