S. No.,Reg_No,Campus,Package,Company,Branch,CTC
194,21BBS0003,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
195,21BBS0006,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
196,21BBS0029,VIT - Vellore,,Infosys,BBS,3.6LPA
197,21BBS0031,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
198,21BBS0036,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
199,21BBS0049,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
200,21BBS0051,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
201,21BBS0053,VIT - Vellore,GenC Next Select,Cognizant,BBS,5.4LPA
202,21BBS0063,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
203,21BBS0070,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
204,21BBS0073,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
205,21BBS0074,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
206,21BBS0080,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
207,21BBS0092,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
208,21BBS0148,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
209,21BBS0153,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
210,21BBS0163,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
211,21BBS0167,VIT - Vellore,,LTIMindtree,BBS,4LPA
212,21BBS0167,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
213,21BBS0167,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
214,21BBS0171,VIT - Vellore,,LTIMindtree,BBS,4LPA
215,21BBS0171,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
216,21BBS0186,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
217,21BBS0186,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
218,21BBS0189,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
219,21BBS0208,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
220,21BBS0219,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
221,21BBS0220,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
222,21BBS0234,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
223,21BBS0240,VIT - Vellore,GenC Select,Cognizant,BBS,4LPA
224,21BBS0243,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
225,21BBS0249,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
226,21BBS0272,VIT - Vellore,,Infosys,BBS,3.6LPA
227,21BBS0272,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
228,21BBS0275,VIT - Vellore,Ninja,TCS,BBS,3.3LPA
229,21BBS0284,VIT - Vellore,,Infosys,BBS,3.6LPA
230,21BBT0002,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
231,21BBT0024,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
232,21BBT0044,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
233,21BBT0098,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
234,21BBT0119,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
235,21BBT0126,VIT - Vellore,,LTIMindtree,BBT,4LPA
236,21BBT0135,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
237,21BBT0170,VIT - Vellore,GenC Select,Cognizant,BBT,4LPA
238,21BBT0214,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
239,21BBT0238,VIT - Vellore,,LTIMindtree,BBT,4LPA
240,21BBT0285,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
241,21BBT0303,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
242,21BBT0324,VIT - Vellore,,Infosys,BBT,3.6LPA
243,21BBT0388,VIT - Vellore,Ninja,TCS,BBT,3.3LPA
244,21BCB0001,VIT - Vellore,GenC Select,Cognizant,BCB,4LPA
245,21BCB0001,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
246,21BCB0006,VIT - Vellore,,LTIMindtree,BCB,4LPA
247,21BCB0016,VIT - Vellore,,LTIMindtree,BCB,4LPA
248,21BCB0034,VIT - Vellore,GenC Select,Cognizant,BCB,4LPA
249,21BCB0034,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
250,21BCB0050,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
251,21BCB0080,VIT - Vellore,,Infosys,BCB,3.6LPA
252,21BCB0080,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
253,21BCB0087,VIT - Vellore,,LTIMindtree,BCB,4LPA
254,21BCB0087,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
255,21BCB0090,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
256,21BCB0099,VIT - Vellore,GenC Select,Cognizant,BCB,4LPA
257,21BCB0099,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
258,21BCB0100,VIT - Vellore,GenC Select,Cognizant,BCB,4LPA
259,21BCB0100,VIT - Vellore,,Infosys,BCB,3.6LPA
260,21BCB0102,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
261,21BCB0102,VIT - Vellore,GenC Select,Cognizant,BCB,4LPA
262,21BCB0103,VIT - Vellore,,Infosys,BCB,3.6LPA
263,21BCB0103,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
264,21BCB0105,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
265,21BCB0110,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
266,21BCB0116,VIT - Vellore,,Infosys,BCB,3.6LPA
267,21BCB0118,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
268,21BCB0120,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
269,21BCB0125,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
270,21BCB0130,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
271,21BCB0132,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
272,21BCB0136,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
273,21BCB0137,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
274,21BCB0139,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
275,21BCB0142,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
276,21BCB0147,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
277,21BCB0152,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
278,21BCB0164,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
279,21BCB0174,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
280,21BCB0180,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
281,21BCB0184,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
282,21BCB0185,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
283,21BCB0188,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
284,21BCB0193,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
285,21BCB0203,VIT - Vellore,,LTIMindtree,BCB,4LPA
286,21BCB0219,VIT - Vellore,,Infosys,BCB,3.6LPA
287,21BCB0222,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
288,21BCB0236,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
289,21BCB0256,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
290,21BCB0258,VIT - Vellore,Ninja,TCS,BCB,3.3LPA
291,21BCE0007,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
292,21BCE0012,VIT - Vellore,,Infosys,BCE,3.6LPA
293,21BCE0027,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
294,21BCE0028,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
295,21BCE0034,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
296,21BCE0045,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
297,21BCE0048,VIT - Vellore,Ninja,TCS,BCE,3.3LPA
